Date,Open,High,Low,Close,Volume,Symbol
2024-06-25,207.35380525957078,209.5646648210329,206.81844945769743,207.27450561523438,55549700,AAPL
2024-06-26,209.68362348048936,213.01476817493463,208.8310086144187,211.41859436035156,66213200,AAPL
2024-06-27,212.84622088780682,213.88720639689362,210.52632069800987,212.26129150390625,49772700,AAPL
2024-06-28,213.91696855097956,214.2143951724623,208.49394377490637,208.81118774414062,82542700,AAPL
2024-07-01,210.26856627972688,215.64201747450758,210.10002805599396,214.8885498046875,60402900,AAPL
2024-07-02,214.2936836981781,218.4873670751859,213.25271326862932,218.37831115722656,58046200,AAPL
2024-07-03,218.11061688690268,219.64730834960938,217.14894613859082,219.64730834960938,37369800,AAPL
2024-07-05,219.74642480522968,224.5052045874235,219.74642480522968,224.39614868164062,60412400,AAPL
2024-07-08,225.1397532025748,225.89323602358715,221.33273465594922,225.86349487304688,59085900,AAPL
2024-07-09,225.97252074204383,227.42989753320916,224.4259205051531,226.71607971191406,48076100,AAPL
2024-07-10,227.3307526887298,231.07828847688273,227.28117906796422,230.97914123535156,62627700,AAPL
2024-07-11,229.40283250811748,230.39424455320685,223.83110165559438,225.6156463623047,64710600,AAPL
2024-07-12,226.9540066999144,230.64206011910093,226.71606240173486,228.56008911132812,53046500,AAPL
2024-07-15,234.44908623752588,235.1926451763578,231.08820043911544,232.38694763183594,62631300,AAPL
2024-07-16,232.98180687397965,234.24090427881208,230.33473879844306,232.80335998535156,43234300,AAPL
2024-07-17,227.47946461019197,229.47221227385296,224.69359950369105,226.91436767578125,57345900,AAPL
2024-07-18,228.3023336745397,228.46096321097224,220.36112971273346,222.2547149658203,66034600,AAPL
2024-07-19,222.88922042587495,224.85221166233242,221.3624376981624,222.3835906982422,49151500,AAPL
2024-07-22,225.06041535891617,225.82380677595344,221.174082433242,222.03662109375,48201800,AAPL
2024-07-23,222.4431183487035,224.99105459605977,220.7676295522315,223.07762145996094,39960300,AAPL
2024-07-24,222.07627816799848,222.86941075843336,215.26528287042115,216.6631622314453,61777600,AAPL
2024-07-25,217.04981289629316,218.95333716975932,212.77682977395946,215.6221923828125,51391200,AAPL
2024-07-26,216.82176985722595,217.60499369491455,214.15486954444728,216.088134765625,41601300,AAPL
2024-07-29,215.0967318967012,217.41663210574902,213.89711684474761,216.36573791503906,36311800,AAPL
2024-07-30,217.3075789949067,218.43778796730905,214.2639371695869,216.92092895507812,41643800,AAPL
2024-07-31,219.53827220377053,221.89783756706774,218.73523091700034,220.1727752685547,50036300,AAPL
2024-08-01,222.44309097566543,222.55214689360594,215.15622233135366,216.48471069335938,62501000,AAPL
2024-08-02,217.2679231335739,223.66254232334134,215.84030263063204,217.97183227539062,105568600,AAPL
2024-08-05,197.3802115476467,211.6664621054212,194.3167520967801,207.47279357910156,119548600,AAPL
2024-08-06,203.53686913101606,208.18659343179937,199.34320096724198,205.45028686523438,69660500,AAPL
2024-08-07,205.12313014700663,211.80525225793107,204.61751548926864,208.01806640625,63516400,AAPL
2024-08-08,211.27979376271134,212.36042911915672,207.03655197769595,211.4780731201172,47161100,AAPL
2024-08-09,210.2784595957283,214.9182597959333,210.1495712142523,214.38290405273438,42201600,AAPL
2024-08-12,214.4623401059105,217.8767320905019,213.9958359256548,215.91146850585938,38028100,AAPL
2024-08-13,217.38044783379533,220.23902400333975,217.38044783379533,219.62364196777344,44155300,AAPL
2024-08-14,218.92887503482297,221.37056313371255,218.06533789669703,220.0703125,41960600,AAPL
2024-08-15,222.9288560878089,223.67327566716008,221.1025352094067,223.04795837402344,46414000,AAPL
2024-08-16,222.25391598005478,225.14226768918678,221.98592068094572,224.36807250976562,44340200,AAPL
2024-08-19,224.04051049270504,224.30850577318623,221.3804434072076,224.20924377441406,40687800,AAPL
2024-08-20,224.0901616619868,225.47973889834265,223.7725353535306,224.82464599609375,30299000,AAPL
2024-08-21,224.8345868015738,226.28371522001356,223.37552309496598,224.71546936035156,34765500,AAPL
2024-08-22,226.09511339685906,226.64102413052154,222.2340576918725,222.859375,43695300,AAPL
2024-08-23,223.98097823318813,226.52192810531062,222.66087229355688,225.15219116210938,38677300,AAPL
2024-08-26,225.0727813784282,225.58891654674125,222.22414052811973,225.48965454101562,30602200,AAPL
2024-08-27,224.31843379232603,227.14723425887112,223.21669220638537,226.3333282470703,35934600,AAPL
2024-08-28,226.22414704916858,228.14971479709,224.0008084384826,224.80479431152344,38052200,AAPL
2024-08-29,228.3879521456165,231.18696212304621,227.1770283167567,228.0802459716797,51906300,AAPL
2024-08-30,228.4772755570311,228.68570457235603,225.78743262658827,227.29612731933594,52990800,AAPL
2024-09-03,226.84946493362216,227.29611365629745,219.52437135882835,221.1124725341797,50190600,AAPL
2024-09-04,220.01074262314262,220.12984491677884,215.86183603349318,219.20677185058594,43840200,AAPL
2024-09-05,219.9809527371486,223.80229748015876,219.87177059333374,220.72537231445312,36615400,AAPL
2024-09-06,222.28373392303257,223.56414437208528,218.13484179351707,219.17703247070312,48423000,AAPL
2024-09-09,219.17698492990527,219.62363365317324,215.0975649862482,219.2663116455078,67180000,AAPL
2024-09-10,217.29112653781655,219.83207646515766,215.1174187834135,218.47227478027344,51591000,AAPL
2024-09-11,219.81221238330573,221.43007391385896,216.2687680395375,221.00328063964844,44587100,AAPL
